nome_municipio;sigla_uf;dh_mortos;dh_feridos;dh_desabrigados;da_polui_cont_do_solo;da_polui_cont_do_ar;descricao_tipologia;grupo_de_desastre
Fortaleza;SP;1;1;11;0;0;Secas e estiagens;Geológico
Curitiba;PI;2;5;8;1;0;Erosão Costeira;Meteorológico
Porto Alegre;RS;0;0;12;0;0;Tornados;Incêndios Florestais
Manaus;AC;0;2;18;0;1;Deslizamentos de terra;Incêndios Florestais
Trindade;AP;0;0;13;0;0;Alagamentos;Climatológico
Manaus;BA;1;4;10;0;0;Incêndios florestais;Climatológico
Salvador;PI;0;2;10;0;0;Vendavais e Ciclones;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Jataí;TO;0;1;10;0;0;Chuvas Intensas;Climatológico
Aparecida de Goiânia;ES;0;1;8;0;0;Vendavais e Ciclones;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Belo Horizonte;MS;0;2;11;0;0;Subsidência/Colapso de solo;Meteorológico
Valparaíso de Goiás;PB;1;1;9;0;0;Enxurradas;Geológico
São Paulo;MG;0;2;10;0;0;Alagamentos;Meteorológico
Fortaleza;PA;3;1;15;0;1;Geada/Frentes frias;Desastres Tecnológicos (simulando contaminação como consequência)
Goiânia;PB;1;1;5;0;0;Deslizamentos de terra;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Brasília;PI;1;1;12;0;0;Erosão Costeira;Hidrológico
Goiânia;PR;0;0;9;1;0;Incêndios florestais;Geológico
Valparaíso de Goiás;SE;1;2;5;0;0;Inundações graduais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Belo Horizonte;PR;0;1;13;0;0;Inundações graduais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Rio Verde;PE;1;0;9;1;0;Geada/Frentes frias;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Belo Horizonte;PR;1;2;8;0;0;Granizo;Hidrológico
Manaus;PI;0;2;15;0;0;Subsidência/Colapso de solo;Hidrológico
Aparecida de Goiânia;RS;2;4;9;1;0;Deslizamentos de terra;Geológico
Manaus;PB;0;1;5;0;0;Tornados;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Rio Verde;MS;1;2;9;0;0;Secas e estiagens;Geológico
Jataí;SP;0;1;8;0;0;Erosão Costeira;Climatológico
Recife;RS;0;4;9;0;0;Granizo;Hidrológico
Catalão;RJ;0;2;11;0;1;Erosão Costeira;Desastres Tecnológicos (simulando contaminação como consequência)
Curitiba;TO;0;3;9;0;1;Alagamentos;Geológico
Fortaleza;RO;0;2;9;0;1;Enxurradas;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Salvador;AP;0;0;10;1;0;Secas e estiagens;Geológico
Fortaleza;PI;0;1;3;0;0;Secas e estiagens;Meteorológico
Manaus;TO;1;2;16;0;0;Deslizamentos de terra;Hidrológico
Brasília;PA;0;1;8;0;0;Erosão Costeira;Climatológico
Itumbiara;PB;0;4;9;0;0;Granizo;Meteorológico
Belo Horizonte;DF;0;0;17;0;0;Erosão Costeira;Meteorológico
Manaus;AC;0;1;11;1;0;Inundações graduais;Geológico
Valparaíso de Goiás;PR;0;2;11;1;0;Erosão Costeira;Meteorológico
Trindade;PA;0;2;12;0;0;Enxurradas;Incêndios Florestais
Salvador;SC;0;1;10;0;0;Vendavais e Ciclones;Hidrológico
Rio de Janeiro;MT;0;2;13;0;0;Subsidência/Colapso de solo;Desastres Tecnológicos (simulando contaminação como consequência)
Belo Horizonte;SE;0;2;10;1;0;Deslizamentos de terra;Climatológico
Catalão;RJ;0;3;8;1;0;Chuvas Intensas;Incêndios Florestais
Recife;PB;0;1;12;0;0;Chuvas Intensas;Incêndios Florestais
Aparecida de Goiânia;RJ;0;2;11;0;0;Secas e estiagens;Desastres Tecnológicos (simulando contaminação como consequência)
Luziânia;PA;0;1;15;0;0;Geada/Frentes frias;Hidrológico
Catalão;SE;0;1;12;1;0;Tornados;Hidrológico
Rio Verde;SC;0;1;10;0;0;Inundações graduais;Incêndios Florestais
Goiânia;AC;0;2;8;1;0;Tornados;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Rio Verde;SE;0;4;13;0;1;Secas e estiagens;Climatológico
Manaus;PA;0;3;8;1;0;Tornados;Hidrológico
Salvador;CE;0;0;11;0;0;Inundações graduais;Hidrológico
Rio de Janeiro;MT;0;2;10;0;0;Tornados;Geológico
Catalão;PB;0;2;6;0;0;Vendavais e Ciclones;Climatológico
Jataí;PI;1;1;9;0;0;Tornados;Geológico
Luziânia;AC;1;1;11;0;0;Alagamentos;Incêndios Florestais
Valparaíso de Goiás;PA;0;2;10;0;0;Tornados;Climatológico
Porto Alegre;MS;0;0;10;0;0;Secas e estiagens;Incêndios Florestais
Manaus;SP;0;4;10;1;0;Deslizamentos de terra;Incêndios Florestais
Brasília;TO;0;1;7;0;0;Subsidência/Colapso de solo;Hidrológico
Jataí;PA;0;0;9;0;0;Enxurradas;Geológico
Trindade;TO;0;1;10;1;0;Granizo;Hidrológico
Itumbiara;CE;0;1;12;0;0;Incêndios florestais;Incêndios Florestais
Catalão;MG;0;2;9;1;0;Geada/Frentes frias;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Goiânia;AP;0;4;6;0;1;Subsidência/Colapso de solo;Climatológico
Trindade;MT;0;3;10;0;0;Incêndios florestais;Meteorológico
São Paulo;MG;0;3;9;1;0;Alagamentos;Desastres Tecnológicos (simulando contaminação como consequência)
Porto Alegre;CE;1;1;11;0;0;Subsidência/Colapso de solo;Incêndios Florestais
Porto Alegre;AM;1;1;9;0;0;Alagamentos;Geológico
Aparecida de Goiânia;RS;0;2;10;0;0;Inundações graduais;Meteorológico
Manaus;MT;0;2;13;0;0;Granizo;Climatológico
Valparaíso de Goiás;PI;0;4;5;0;0;Vendavais e Ciclones;Climatológico
Trindade;RN;1;2;8;1;0;Alagamentos;Incêndios Florestais
Jataí;PI;0;2;15;0;0;Secas e estiagens;Climatológico
Belo Horizonte;RR;1;5;5;0;0;Inundações graduais;Incêndios Florestais
Catalão;MA;0;0;8;0;0;Tornados;Incêndios Florestais
Jataí;PE;1;1;9;0;1;Deslizamentos de terra;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Goiânia;AL;0;3;10;0;0;Granizo;Meteorológico
Anápolis;ES;1;3;13;1;0;Geada/Frentes frias;Climatológico
Trindade;AL;0;1;20;0;0;Deslizamentos de terra;Incêndios Florestais
Rio Verde;CE;1;2;8;0;0;Granizo;Desastres Tecnológicos (simulando contaminação como consequência)
Recife;RN;0;3;10;0;0;Tornados;Meteorológico
Goiânia;GO;0;2;10;0;0;Inundações graduais;Incêndios Florestais
Jataí;RR;0;1;16;0;0;Chuvas Intensas;Hidrológico
Porto Alegre;AM;1;2;8;0;0;Incêndios florestais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Rio de Janeiro;MS;0;0;6;0;0;Inundações graduais;Hidrológico
Catalão;BA;0;1;11;1;0;Geada/Frentes frias;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Recife;ES;0;1;9;0;0;Geada/Frentes frias;Climatológico
Rio de Janeiro;ES;0;3;13;0;1;Inundações graduais;Meteorológico
Rio Verde;MS;0;2;15;1;0;Alagamentos;Desastres Tecnológicos (simulando contaminação como consequência)
Luziânia;AL;0;3;13;1;0;Granizo;Hidrológico
São Paulo;MA;0;0;10;0;0;Secas e estiagens;Climatológico
São Paulo;DF;0;1;7;0;0;Tornados;Hidrológico
Jataí;MG;0;3;7;0;0;Enxurradas;Desastres Tecnológicos (simulando contaminação como consequência)
Catalão;SP;0;1;11;0;0;Chuvas Intensas;Desastres Tecnológicos (simulando contaminação como consequência)
Rio de Janeiro;TO;0;0;7;0;0;Inundações graduais;Meteorológico
Anápolis;ES;0;1;8;0;1;Subsidência/Colapso de solo;Hidrológico
Recife;MG;0;3;10;0;0;Geada/Frentes frias;Desastres Tecnológicos (simulando contaminação como consequência)
Trindade;CE;1;5;16;0;0;Chuvas Intensas;Climatológico
Curitiba;AC;0;2;10;0;1;Incêndios florestais;Desastres Tecnológicos (simulando contaminação como consequência)
Luziânia;RO;0;0;12;1;0;Granizo;Climatológico
Belo Horizonte;RJ;0;2;14;0;0;Vendavais e Ciclones;Meteorológico
Itumbiara;PB;0;3;14;0;0;Secas e estiagens;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Rio Verde;RJ;1;1;8;0;0;Erosão Costeira;Incêndios Florestais
Luziânia;RS;0;1;7;0;0;Geada/Frentes frias;Climatológico
Luziânia;RR;0;2;9;0;0;Granizo;Desastres Tecnológicos (simulando contaminação como consequência)
Valparaíso de Goiás;BA;0;4;8;0;0;Alagamentos;Desastres Tecnológicos (simulando contaminação como consequência)
Curitiba;PE;0;3;7;0;0;Secas e estiagens;Desastres Tecnológicos (simulando contaminação como consequência)
Rio Verde;RJ;0;2;9;0;0;Vendavais e Ciclones;Desastres Tecnológicos (simulando contaminação como consequência)
Manaus;AL;2;2;12;0;0;Granizo;Incêndios Florestais
Rio Verde;PA;0;1;9;0;0;Inundações graduais;Desastres Tecnológicos (simulando contaminação como consequência)
Trindade;DF;0;2;6;0;0;Alagamentos;Geológico
Salvador;MS;1;0;11;1;0;Inundações graduais;Desastres Tecnológicos (simulando contaminação como consequência)
Trindade;PA;0;2;5;0;0;Secas e estiagens;Hidrológico
Valparaíso de Goiás;GO;0;0;15;0;0;Alagamentos;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Goiânia;AM;0;3;11;0;0;Tornados;Geológico
Salvador;TO;0;1;4;0;0;Secas e estiagens;Incêndios Florestais
Trindade;CE;0;3;10;0;0;Alagamentos;Meteorológico
Jataí;AL;1;1;13;0;0;Subsidência/Colapso de solo;Meteorológico
Curitiba;PI;0;3;11;0;0;Vendavais e Ciclones;Hidrológico
Rio Verde;PB;0;1;6;0;0;Tornados;Incêndios Florestais
Goiânia;MT;0;3;11;0;0;Tornados;Geológico
Aparecida de Goiânia;ES;1;0;14;0;0;Deslizamentos de terra;Geológico
Catalão;SP;1;0;15;1;0;Chuvas Intensas;Desastres Tecnológicos (simulando contaminação como consequência)
Curitiba;RN;0;1;4;0;0;Subsidência/Colapso de solo;Desastres Tecnológicos (simulando contaminação como consequência)
Fortaleza;PR;1;2;12;0;0;Enxurradas;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Anápolis;AL;0;1;11;0;0;Alagamentos;Incêndios Florestais
Aparecida de Goiânia;TO;0;4;13;0;0;Deslizamentos de terra;Hidrológico
Recife;SE;0;0;8;0;0;Granizo;Meteorológico
Luziânia;RR;0;2;6;0;1;Chuvas Intensas;Meteorológico
Catalão;AC;1;3;6;0;0;Subsidência/Colapso de solo;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Porto Alegre;AC;1;1;7;1;0;Alagamentos;Hidrológico
Aparecida de Goiânia;BA;0;2;13;0;0;Granizo;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Anápolis;RO;0;2;14;0;0;Deslizamentos de terra;Climatológico
Rio Verde;BA;0;1;14;0;0;Vendavais e Ciclones;Meteorológico
Valparaíso de Goiás;SC;0;3;10;0;0;Secas e estiagens;Geológico
Trindade;MA;0;2;14;0;0;Enxurradas;Hidrológico
Anápolis;MS;0;0;6;0;0;Alagamentos;Hidrológico
Goiânia;RJ;1;0;13;1;0;Granizo;Incêndios Florestais
Curitiba;PB;0;1;9;0;0;Granizo;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Luziânia;RN;2;2;12;0;0;Alagamentos;Climatológico
Jataí;MS;0;0;11;0;0;Geada/Frentes frias;Climatológico
Itumbiara;CE;0;2;12;0;0;Tornados;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Salvador;SE;0;2;15;0;0;Incêndios florestais;Hidrológico
Rio Verde;PR;1;4;12;1;0;Chuvas Intensas;Incêndios Florestais
Fortaleza;MG;0;3;11;0;0;Incêndios florestais;Incêndios Florestais
Curitiba;AP;1;1;15;0;0;Granizo;Hidrológico
Curitiba;AL;0;0;8;0;0;Enxurradas;Hidrológico
Trindade;MT;0;1;13;0;0;Erosão Costeira;Geológico
Brasília;ES;0;3;9;0;0;Tornados;Desastres Tecnológicos (simulando contaminação como consequência)
Rio de Janeiro;MT;0;3;5;0;0;Inundações graduais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Rio Verde;MG;0;0;7;0;0;Deslizamentos de terra;Hidrológico
Trindade;AM;0;2;8;1;0;Chuvas Intensas;Hidrológico
Rio de Janeiro;MG;0;2;6;0;0;Enxurradas;Hidrológico
Fortaleza;SP;0;1;9;0;0;Secas e estiagens;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Valparaíso de Goiás;BA;0;1;10;1;0;Granizo;Incêndios Florestais
São Paulo;AP;0;4;8;0;0;Erosão Costeira;Geológico
Anápolis;AL;0;0;12;0;0;Vendavais e Ciclones;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Jataí;BA;0;1;15;0;0;Geada/Frentes frias;Hidrológico
Valparaíso de Goiás;DF;0;1;6;0;0;Inundações graduais;Hidrológico
Fortaleza;MA;0;0;14;0;0;Subsidência/Colapso de solo;Hidrológico
Goiânia;AM;0;1;13;1;0;Inundações graduais;Climatológico
Rio Verde;PB;0;1;9;0;0;Secas e estiagens;Desastres Tecnológicos (simulando contaminação como consequência)
Salvador;PI;0;2;16;0;0;Subsidência/Colapso de solo;Meteorológico
Fortaleza;ES;2;2;7;1;0;Deslizamentos de terra;Geológico
Salvador;SE;0;1;16;0;0;Chuvas Intensas;Hidrológico
Fortaleza;RO;0;3;7;0;0;Erosão Costeira;Incêndios Florestais
Trindade;RJ;0;1;9;1;0;Secas e estiagens;Climatológico
Itumbiara;RS;0;3;8;0;0;Deslizamentos de terra;Meteorológico
Salvador;RS;0;1;5;1;0;Deslizamentos de terra;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Brasília;MS;0;1;11;1;0;Tornados;Incêndios Florestais
São Paulo;SE;0;2;14;0;1;Vendavais e Ciclones;Geológico
Rio de Janeiro;RS;0;2;13;0;0;Geada/Frentes frias;Climatológico
Trindade;MG;0;3;11;0;1;Secas e estiagens;Meteorológico
Jataí;SP;0;1;14;0;0;Erosão Costeira;Climatológico
Rio de Janeiro;RJ;0;0;15;0;0;Subsidência/Colapso de solo;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Catalão;PI;0;2;6;0;0;Granizo;Incêndios Florestais
Aparecida de Goiânia;TO;0;1;8;0;0;Subsidência/Colapso de solo;Incêndios Florestais
Rio Verde;RN;0;1;11;0;1;Alagamentos;Meteorológico
Luziânia;PB;0;2;12;0;0;Chuvas Intensas;Incêndios Florestais
Goiânia;TO;0;2;6;0;0;Chuvas Intensas;Hidrológico
Curitiba;PE;0;2;17;0;0;Vendavais e Ciclones;Geológico
Curitiba;MG;1;0;9;0;0;Erosão Costeira;Hidrológico
Belo Horizonte;MT;0;2;14;0;0;Enxurradas;Incêndios Florestais
Fortaleza;AM;0;1;6;0;0;Tornados;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Goiânia;ES;0;2;9;1;0;Geada/Frentes frias;Incêndios Florestais
Porto Alegre;DF;0;0;9;1;0;Erosão Costeira;Desastres Tecnológicos (simulando contaminação como consequência)
Manaus;SE;0;0;5;0;0;Alagamentos;Desastres Tecnológicos (simulando contaminação como consequência)
Jataí;AL;0;2;10;0;0;Chuvas Intensas;Hidrológico
Trindade;CE;0;3;11;0;0;Tornados;Meteorológico
Porto Alegre;MT;0;1;14;0;0;Secas e estiagens;Meteorológico
São Paulo;AC;0;2;16;1;0;Vendavais e Ciclones;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Fortaleza;RN;0;0;9;0;0;Geada/Frentes frias;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Itumbiara;PB;0;2;12;1;0;Secas e estiagens;Climatológico
Anápolis;SP;0;4;20;0;0;Vendavais e Ciclones;Geológico
Curitiba;AL;0;4;11;0;0;Tornados;Geológico
Aparecida de Goiânia;AC;2;1;18;0;0;Geada/Frentes frias;Meteorológico
Itumbiara;RO;0;3;11;0;0;Granizo;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Curitiba;AP;1;4;15;0;0;Enxurradas;Meteorológico
Goiânia;MT;0;2;11;0;0;Granizo;Meteorológico
Brasília;TO;0;1;18;1;0;Subsidência/Colapso de solo;Climatológico
Jataí;ES;0;0;15;0;0;Inundações graduais;Incêndios Florestais
Curitiba;BA;0;0;7;0;0;Enxurradas;Incêndios Florestais
Rio de Janeiro;AM;0;1;16;0;0;Geada/Frentes frias;Geológico
Curitiba;PE;0;2;7;0;0;Deslizamentos de terra;Hidrológico
Manaus;MG;0;1;12;1;0;Inundações graduais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Belo Horizonte;GO;0;2;11;0;0;Vendavais e Ciclones;Incêndios Florestais
Trindade;ES;0;0;16;0;0;Inundações graduais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Belo Horizonte;MS;0;1;13;0;0;Alagamentos;Meteorológico
Manaus;RJ;0;2;17;0;0;Alagamentos;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Belo Horizonte;MS;0;1;7;0;1;Geada/Frentes frias;Desastres Tecnológicos (simulando contaminação como consequência)
Rio de Janeiro;RN;0;3;10;0;0;Tornados;Desastres Tecnológicos (simulando contaminação como consequência)
Aparecida de Goiânia;PB;0;0;7;0;0;Tornados;Meteorológico
Brasília;SE;0;3;9;0;0;Inundações graduais;Geológico
Belo Horizonte;RJ;0;2;10;0;0;Erosão Costeira;Climatológico
Aparecida de Goiânia;MS;0;1;10;0;0;Chuvas Intensas;Incêndios Florestais
Valparaíso de Goiás;AP;0;0;10;0;0;Subsidência/Colapso de solo;Incêndios Florestais
Catalão;DF;0;1;12;0;0;Enxurradas;Meteorológico
Rio Verde;PI;0;0;14;0;0;Deslizamentos de terra;Incêndios Florestais
Fortaleza;PB;0;2;8;0;0;Chuvas Intensas;Desastres Tecnológicos (simulando contaminação como consequência)
Curitiba;RO;0;3;12;0;0;Deslizamentos de terra;Desastres Tecnológicos (simulando contaminação como consequência)
São Paulo;AL;0;1;9;0;0;Vendavais e Ciclones;Geológico
Anápolis;PI;1;3;10;0;0;Secas e estiagens;Geológico
Manaus;SE;0;1;11;0;0;Vendavais e Ciclones;Hidrológico
Rio Verde;CE;0;2;8;0;0;Erosão Costeira;Hidrológico
Belo Horizonte;GO;0;1;6;1;0;Tornados;Incêndios Florestais
Recife;PI;0;2;9;0;0;Granizo;Geológico
Luziânia;PE;0;2;6;0;0;Incêndios florestais;Desastres Tecnológicos (simulando contaminação como consequência)
Rio de Janeiro;AL;1;4;8;0;0;Incêndios florestais;Hidrológico
Aparecida de Goiânia;PB;0;1;9;0;0;Deslizamentos de terra;Desastres Tecnológicos (simulando contaminação como consequência)
Luziânia;RR;1;2;14;0;0;Secas e estiagens;Climatológico
Anápolis;CE;1;3;3;0;1;Alagamentos;Geológico
Trindade;CE;0;0;7;0;0;Erosão Costeira;Hidrológico
Goiânia;BA;0;1;12;0;0;Chuvas Intensas;Meteorológico
Manaus;MG;0;1;3;0;0;Tornados;Geológico
São Paulo;RJ;0;2;17;1;0;Geada/Frentes frias;Hidrológico
Belo Horizonte;SE;0;3;6;0;0;Geada/Frentes frias;Incêndios Florestais
Itumbiara;CE;0;1;8;0;0;Vendavais e Ciclones;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Belo Horizonte;SE;0;0;15;0;0;Incêndios florestais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Aparecida de Goiânia;BA;0;3;8;0;0;Secas e estiagens;Meteorológico
Manaus;RS;0;0;13;0;0;Tornados;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Catalão;RJ;0;4;9;0;0;Alagamentos;Desastres Tecnológicos (simulando contaminação como consequência)
Catalão;DF;0;1;5;0;0;Secas e estiagens;Desastres Tecnológicos (simulando contaminação como consequência)
Itumbiara;AM;0;1;11;0;0;Chuvas Intensas;Incêndios Florestais
Salvador;PB;0;0;5;0;0;Alagamentos;Geológico
Itumbiara;TO;1;0;9;0;0;Secas e estiagens;Climatológico
Rio Verde;RS;0;3;5;0;0;Inundações graduais;Hidrológico
Recife;PB;0;0;8;0;0;Secas e estiagens;Incêndios Florestais
Catalão;RO;0;2;8;0;0;Enxurradas;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Goiânia;MS;0;4;10;0;1;Alagamentos;Climatológico
Trindade;MS;0;4;13;0;0;Tornados;Desastres Tecnológicos (simulando contaminação como consequência)
Luziânia;MT;0;3;14;0;0;Chuvas Intensas;Hidrológico
Belo Horizonte;BA;0;1;11;0;1;Subsidência/Colapso de solo;Desastres Biológicos (ex: epidemias relacionadas a desastres)
São Paulo;SP;0;2;13;0;0;Geada/Frentes frias;Incêndios Florestais
Jataí;RJ;0;1;9;0;0;Alagamentos;Meteorológico
Jataí;AC;1;3;11;1;0;Tornados;Incêndios Florestais
Aparecida de Goiânia;RS;0;1;10;0;0;Subsidência/Colapso de solo;Meteorológico
Salvador;RS;0;0;10;1;0;Tornados;Desastres Tecnológicos (simulando contaminação como consequência)
Rio Verde;PB;0;0;11;0;0;Alagamentos;Hidrológico
Anápolis;BA;1;1;9;0;0;Inundações graduais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Salvador;GO;0;1;12;0;0;Chuvas Intensas;Meteorológico
Catalão;RR;0;2;8;0;0;Alagamentos;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Brasília;RS;0;0;14;0;0;Alagamentos;Meteorológico
Valparaíso de Goiás;GO;0;0;12;0;0;Erosão Costeira;Incêndios Florestais
Luziânia;PE;1;2;8;0;0;Subsidência/Colapso de solo;Climatológico
Luziânia;SC;0;0;13;0;0;Deslizamentos de terra;Geológico
Rio de Janeiro;CE;0;2;11;1;0;Inundações graduais;Geológico
Manaus;AC;0;0;10;0;0;Incêndios florestais;Hidrológico
Rio de Janeiro;SE;0;3;4;1;0;Enxurradas;Meteorológico
São Paulo;AM;1;1;6;0;0;Tornados;Desastres Tecnológicos (simulando contaminação como consequência)
Fortaleza;MS;0;1;7;0;0;Inundações graduais;Geológico
Brasília;AC;0;1;7;0;1;Erosão Costeira;Meteorológico
Luziânia;PB;0;0;7;0;0;Secas e estiagens;Desastres Tecnológicos (simulando contaminação como consequência)
Itumbiara;PE;0;4;14;1;0;Alagamentos;Climatológico
Goiânia;AM;0;2;13;0;0;Subsidência/Colapso de solo;Hidrológico
São Paulo;AC;0;2;9;0;0;Chuvas Intensas;Desastres Tecnológicos (simulando contaminação como consequência)
Curitiba;RR;1;1;3;0;0;Erosão Costeira;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Catalão;PA;0;0;13;0;0;Tornados;Climatológico
Porto Alegre;AM;1;0;9;0;0;Geada/Frentes frias;Incêndios Florestais
Fortaleza;RJ;0;1;8;0;1;Vendavais e Ciclones;Incêndios Florestais
Goiânia;AC;0;0;8;0;0;Geada/Frentes frias;Meteorológico
Trindade;PR;0;2;16;1;0;Enxurradas;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Aparecida de Goiânia;MS;0;1;20;0;0;Incêndios florestais;Geológico
Fortaleza;RR;0;1;16;0;0;Alagamentos;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Rio de Janeiro;AC;2;1;14;0;1;Granizo;Geológico
Porto Alegre;ES;0;6;6;0;0;Enxurradas;Desastres Biológicos (ex: epidemias relacionadas a desastres)
São Paulo;DF;0;2;11;0;0;Chuvas Intensas;Climatológico
Rio Verde;MG;1;3;16;0;0;Deslizamentos de terra;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Goiânia;TO;0;2;10;0;0;Subsidência/Colapso de solo;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Recife;AM;0;1;8;0;0;Secas e estiagens;Climatológico
Goiânia;AM;0;3;8;0;0;Secas e estiagens;Geológico
São Paulo;SP;0;2;10;0;0;Chuvas Intensas;Incêndios Florestais
Itumbiara;MA;0;1;13;0;0;Subsidência/Colapso de solo;Incêndios Florestais
Rio Verde;DF;0;0;10;0;1;Incêndios florestais;Incêndios Florestais
Valparaíso de Goiás;AL;0;0;19;0;0;Erosão Costeira;Meteorológico
Belo Horizonte;GO;1;1;9;1;1;Alagamentos;Incêndios Florestais
Porto Alegre;PA;0;1;16;1;0;Alagamentos;Desastres Tecnológicos (simulando contaminação como consequência)
Itumbiara;AC;0;1;11;1;0;Alagamentos;Meteorológico
